title,videoLink,siteLink,collaborators,schools,projectBrief,publicationTitle,publicationLink
AR Rhino,,,CHANGE THIS Raqi Syed,CHANGE THIS film
Circle v Square,https://www.youtube.com/watch?v=DI2-piw2PaA,http://circlevsquare.xyz/,Raqi Syed Miriam Ross,design film its its film
Colliding Conversations 01,https://www.youtube.com/watch?v=97MZY8LiBrI&feature=youtu.be,https://www.victoria.ac.nz/about/strengths/digital-futures/research-projects,Byron Mallett Kieran Carnegie Matt Plummer Nathan Stewart Kristin Li,ecs design its its film
Colliding Conversations 02,https://www.youtube.com/watch?v=q-kzYX8PaTw&feature=youtu.be,https://www.victoria.ac.nz/about/strengths/digital-futures/research-projects,Ocean Mercier Marc Aurel Schnabel Matt Plummer Nathan Stewart Kristin Li,te kawa a maui soad its its film
Colliding Conversations 03,https://www.youtube.com/watch?v=DYe38u-fYLQ,https://www.victoria.ac.nz/about/strengths/digital-futures/research-projects,Neil Dodgson Miriam Ross Matt Plummer Nathan Stewart Kristin Li,ecs film its its film
Colliding Conversations 04,https://www.youtube.com/watch?v=pT4n3J23kd0,https://www.victoria.ac.nz/about/strengths/digital-futures/research-projects,Andre Geldenhuis Christopher Maymon Matt Plummer Nathan Stewart Kristin Li,its psychology its its film
Colliding Conversations 05,,https://www.victoria.ac.nz/about/strengths/digital-futures/research-projects,Geoff Batchen Raqi Syed Matt Plummer Nathan Stewart Kristin Li,art history design its its film
Colliding Worlds,,,Miriam Ross Joseph Hedren,CHANGE THIS film
HDI4D,,http://computergraphics.ac.nz/hdi4d/,Taehyn Rhee Miriam Ross Kevin Romond Kieran Carnegie,ecs film design
LitAtlas,https://www.youtube.com/watch?v=PQcH4YF2eME,https://biq0yqqjoejz8e9tp4wo.vuw-test.sandcats.io/,Sydney Shep Matt Plummer Jono Bishop Jeff Jones Seb Paz Walter Langelaar,wai te ata press its design
Mixed Reality Rendering,https://www.youtube.com/watch?v=t_iDRwOQMi8,http://computergraphics.ac.nz/,Taehyun Rhee Andrew Chalmers Kieran Carnegie Benjamin Allen Lohit Petikam,CHANGE THIS film
Stereoscopic Media,,http://www.stereoscopicmedia.org/,Miriam Ross Leon Gurevitch,film design
Until Jesse,,https://miriamruthross.wordpress.com/until-jesse-360/,Miriam Ross Joseph Hedren,film film
VR in Humanities,,http://forvrresearch.wixsite.com/vrhumanities,Miriam Ross Joseph Hedren,film film
Virtual World Lab,,https://www.victoria.ac.nz/design/research/virtual-world-lab,Leon Gurevitch Byron Mallett Raqi Syed,design design design
Yasawa Island Virtual Tourism,,https://www.researchgate.net/profile/Christian_Schott2/publication/275275670_Bringing_the_world_to_the_classroom_-_towards_%27virtual_reality%27_pedagogies_for_international_education/links/5580a0c908ae47061e5f33bb/Bringing-the-world-to-the-classroom-towards-virtual-reality-pedagogies-for-international-education.pdf,Christian Schott Jonny Flutey Andre Geldenhuis,vbs its its